Codi_centre;Denominació_completa;Codi_naturalesa;Nom_naturalesa;Codi_titularitat;Nom_titularitat;Adreça;Codi_postal;Telèfon;Codi_delegació;Nom_delegació;Codi_comarca;Nom_comarca;Codi_municipi;Nom_municipi;Codi_districte_municipal;Nom_DM;Codi_localitat;Nom_localitat;Coordenades_UTM_X;Coordenades_UTM_Y;Coordenades_GEO_X;Coordenades_GEO_Y;E-mail_centre;Estudis;EINF1C;EINF2C;EPRI;ESO;BATX;AA01;CFPM;PPAS;AA03;CFPS;EE;IFE;PFI;PA01;CFAM;PA02;CFAS;ESDI;ESCM;ESCS;ADR;CRBC;IDI;DANE;DANP;DANS;MUSE;MUSP;MUSS;TEGM;TEGS;ESTR;ADULTS
8003014;Jesús María - Claudina Thévenet;2;Privat;24;Ordes i Congregacions Catòlics;rbla. Caçador, 6-12;8042;934270125.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;8;Nou Barris;1;Barcelona;430491;4588016;2,167951;41,44071;a8003014@xtec.cat;EINF2C EPRI ESO;;EINF2C;EPRI;ESO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8003361;Maristes Anna Ravell;2;Privat;22;Fundacions;c. Blasco de Garay, 52;8004;934425027.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;3;Sants - Montjuïc;1;Barcelona;429937;4580401;2,1622;41,37207;a8003361@xtec.cat;EINF2C EPRI ESO BATX;;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8003543;Salesià de Sant Josep;2;Privat;24;Ordes i Congregacions Catòlics;c. Rocafort, 42;8015;934231234.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;2;Eixample;1;Barcelona;429458;4580973;2,1564;41,3771;a8003543@xtec.cat;EINF2C EPRI ESO BATX;;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8003816;Thau;2;Privat;22;Fundacions;ctra. d'Esplugues, 49-53;8034;932030154.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;4;Les Corts;1;Barcelona;425285;4582195;2,106353;41,38781;a8003816@xtec.cat;EINF2C EPRI ESO;;EINF2C;EPRI;ESO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8003907;La Salle Bonanova;2;Privat;24;Ordes i Congregacions Catòlics;pg. de la Bonanova, 8;8022;932540954.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;427481;4584214;2,132376;41,406;a8003907@xtec.cat;EINF2C EPRI ESO BATX;;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8003993;Canigó;2;Privat;26;Societats Mercantils;c. Císter, 23;8022;932110217.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;427550;4584750;2,133143;41,41103;a8003993@xtec.cat;EINF1C EINF2C EPRI ESO BATX;EINF1C;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004031;Sant Marc de Sarrià;2;Privat;26;Societats Mercantils;c. Carrasco i Formiguera, 6-16;8017;932041145.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;426669;4583733;2,12272;41,40179;a8004031@xtec.cat;EINF1C EINF2C EPRI ESO BATX CFPS CFAS;EINF1C;EINF2C;EPRI;ESO;BATX;;;;;CFPS;;;;;;;CFAS;;;;;;;;;;;;;;;;
8004067;Jesuïtes Sarrià - Sant Ignasi;2;Privat;22;Fundacions;c. Carrasco i Formiguera, 32;8017;936023000.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;426568;4583860;2,121492;41,40293;a8004067@xtec.cat;EINF1C EINF2C EPRI ESO BATX CFPM CFPS TEGM TEGS;EINF1C;EINF2C;EPRI;ESO;BATX;;CFPM;;;CFPS;;;;;;;;;;;;;;;;;;;;TEGM;TEGS;;
8004080;Sil;2;Privat;26;Societats Mercantils;av. Tibidabo, 26-28;8022;932126754.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;427722;4584970;2,135168;41,41303;a8004080@xtec.cat;EINF1C EINF2C EPRI ESO BATX;EINF1C;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004122;Sagrado Corazón;2;Privat;24;Ordes i Congregacions Catòlics;c. Eduard Conde, 17-23;8034;932038754.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;426529;4582754;2,121163;41,39296;a8004122@xtec.cat;EINF1C EINF2C EPRI ESO BATX;EINF1C;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004171;Santa Anna-Eixample;2;Privat;22;Fundacions;c. Bailèn, 53-59;8009;932654237.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;2;Eixample;1;Barcelona;430890;4582907;2,173308;41,39472;a8004171@xtec.cat;EINF2C EPRI ESO;;EINF2C;EPRI;ESO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004183;Stel·la;2;Privat;26;Societats Mercantils;c. Esperança, 13;8017;934173485.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;426987,5;4583979,8;2,126501;41,40404;a8004183@xtec.cat;ESO;;;;ESO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004195;Galí Bellesguard;2;Privat;22;Fundacions;c. Carles Riba, 11-15;8035;932123108.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;426885;4584910;2,125168;41,41241;a8004195@xtec.cat;EINF2C EPRI ESO BATX;;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004201;Santa Teresa - Ganduxer;2;Privat;22;Fundacions;c. Ganduxer, 85-105;8022;932123354.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;427581;4583501;2,133654;41,39978;a8004201@xtec.cat;EINF1C EINF2C EPRI ESO BATX;EINF1C;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004225;St. Peter's School;2;Privat;26;Societats Mercantils;c. Eduard Toldrà, 18;8034;932043612.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;4;Les Corts;1;Barcelona;425234;4582306;2,105734;41,38881;a8004225@xtec.cat;EINF1C EINF2C EPRI ESO BATX;EINF1C;EINF2C;EPRI;ESO;BATX;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8004286;Escola Pia de Sarrià-Calassanç;2;Privat;24;Ordes i Congregacions Catòlics;c. Immaculada, 25-35;8017;932120908.0;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;5;Sarrià - Sant Gervasi;1;Barcelona;426839;4584299;2,124686;41,4069;a8004286@xtec.cat;EINF2C EPRI ESO BATX CFPM CFPS TEGM TEGS;;EINF2C;EPRI;ESO;BATX;;CFPM;;;CFPS;;;;;;;;;;;;;;;;;;;;TEGM;TEGS;;
